neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
5,6,5,2,3,71,179,94,10,1,1,1,0,1,0,0,1,0,1,0,1,0
5,3,3,1,2,65,13,88,10,0,1,0,0,1,0,1,1,1,1,0,0,0
5,3,3,1,1,80,44,96,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,2,3,1,1,65,29,96,10,0,1,1,0,1,0,0,1,1,1,0,0,0
5,5,3,2,2,80,38,91,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,2,3,1,1,60,104,98,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,4,3,1,2,56,55,96,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,4,3,1,1,79,21,91,10,0,1,1,0,1,0,0,1,1,1,0,0,0
5,2,3,1,1,70,2,90,10,1,0,1,0,1,0,0,1,1,1,0,0,0
5,3,3,1,2,60,20,98,10,1,1,0,0,1,0,0,1,1,1,0,1,0
5,4,3,1,2,57,17,93,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,3,3,1,2,55,6,97,10,1,0,0,0,1,0,1,1,1,1,0,0,0
5,4,3,1,2,50,1,100,10,0,1,0,0,1,0,1,1,1,1,0,0,0
5,2,3,0,1,75,15,100,10,1,1,0,0,1,0,0,1,1,1,0,1,0
5,4,3,1,2,70,21,96,10,0,1,0,0,1,1,0,1,1,1,0,0,0
5,2,3,1,1,50,9,100,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,2,3,1,1,58,25,91,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,3,3,1,1,40,1,100,10,0,1,0,0,1,1,0,1,1,1,0,0,0
5,3,4,1,1,75,1,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,4,5,1,2,71,8,88,10,1,1,0,0,1,0,0,1,1,1,0,0,0
6,2,3,1,1,47,106,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
8,1,3,0,1,60,1,100,10,1,1,1,0,1,0,0,1,0,1,0,1,0
8,2,3,0,1,59,33,92,10,1,1,0,0,1,0,1,1,0,1,0,0,0
8,2,3,1,2,65,1,100,10,1,0,0,0,1,0,1,1,1,1,0,0,0
8,2,3,0,1,90,46,90,10,1,1,1,0,1,0,0,1,0,1,0,0,0
8,2,3,0,1,70,48,93,10,1,1,1,0,1,0,0,1,0,1,0,0,0
8,2,3,1,1,44,29,99,10,1,1,1,0,1,0,0,1,0,1,0,1,0
8,3,3,1,2,65,37,97,10,1,1,1,0,1,0,0,1,0,1,0,0,0
8,7,3,2,6,60,10,100,10,1,0,1,0,1,0,0,1,1,1,0,1,0
8,2,3,1,1,60,15,98,10,0,1,0,0,1,0,1,1,1,1,0,0,0
8,2,3,1,1,51,14,90,10,0,1,1,0,1,0,1,1,0,1,0,1,0
8,4,3,1,1,81,22,90,10,0,1,1,0,1,0,1,1,0,1,0,1,0
8,3,3,1,1,72,6,100,10,1,1,0,0,1,0,1,1,0,1,0,0,0
8,2,3,1,1,70,2,100,10,0,1,1,0,1,0,1,1,0,1,0,1,0
8,2,3,1,1,70,1,100,10,1,0,0,0,1,0,1,1,1,1,0,0,0
8,3,3,0,2,60,2,90,10,0,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,63,98,90,10,0,1,0,0,0,0,0,1,0,1,0,1,0
1,2,3,1,1,72,1,100,10,0,1,0,0,1,0,0,1,0,0,0,0,0
1,3,3,1,2,100,5,96,10,1,0,0,0,1,0,0,1,0,0,0,0,0
2,2,3,1,1,45,201,98,10,0,1,0,0,1,0,0,1,0,0,0,0,0
2,3,3,1,1,36,4,85,10,0,0,0,0,1,0,0,1,0,0,0,0,1
2,5,3,2,2,100,1,100,10,1,0,0,0,1,0,0,1,0,0,0,0,0
2,2,3,1,1,75,7,97,10,0,0,0,0,1,0,0,1,1,0,0,0,0
5,2,3,0,1,80,51,92,10,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,3,1,1,94,84,94,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,2,3,1,1,100,70,97,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,2,3,1,1,73,54,88,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,4,3,1,2,74,146,96,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1,4,3,1,1,100,84,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,58,24,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,1,79,11,100,10,1,1,0,0,1,0,0,1,1,1,0,0,1
1,3,3,1,1,95,416,99,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,99,206,96,10,1,1,1,0,1,0,0,1,0,1,1,1,0
1,3,3,1,2,79,53,91,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,0,1,55,99,97,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1,3,3,1,2,80,153,91,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,64,206,92,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,2,3,0,2,75,240,98,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,3,3,1,3,80,6,87,10,1,1,1,0,1,0,0,1,0,1,0,0,1
1,3,3,1,2,75,17,85,10,1,1,1,0,1,0,0,1,0,1,0,0,1
1,4,3,1,2,95,104,93,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,0,2,70,251,95,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1,4,3,1,2,100,140,93,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,2,95,127,91,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,3,3,1,2,80,8,100,10,1,1,0,0,1,0,1,1,1,1,0,1,0
1,7,3,2,4,95,103,97,10,1,1,0,0,1,0,1,1,1,1,0,1,0
1,2,3,1,1,70,34,89,10,0,1,0,0,1,0,1,1,1,1,1,0,0
1,4,3,1,2,85,8,88,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1,2,3,0,1,70,78,95,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,2,3,0,2,60,9,96,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,5,5,2,3,90,144,87,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,75,78,94,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,4,3,1,4,95,72,92,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,100,105,95,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,8,4,2,3,99,18,99,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,3,3,1,3,75,18,96,10,1,1,0,0,1,0,0,1,1,1,0,1,1
1,2,3,1,1,63,203,87,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,4,67,38,91,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,4,3,1,2,99,15,100,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,6,2,2,95,40,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,3,3,1,2,65,287,97,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1,3,3,1,1,85,6,90,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,2,2,85,37,94,10,1,0,1,0,1,0,1,1,1,1,0,0,0
1,3,3,1,1,65,203,97,10,0,1,0,0,1,0,1,1,1,1,1,0,0
1,4,5,1,2,80,140,84,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1,5,4,2,3,90,53,97,10,1,1,0,0,1,0,1,1,1,1,0,1,0
1,2,3,1,1,65,9,88,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,0,3,65,35,98,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,96,3,87,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,3,3,1,1,69,110,95,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,3,3,1,2,100,48,91,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,67,2,100,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,100,123,88,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1,2,3,0,1,49,99,88,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,5,3,2,5,100,7,91,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,99,10,94,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,2,3,1,1,89,66,94,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1,4,3,2,2,58,181,91,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,2,3,73,126,96,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,0,1,60,113,96,10,1,1,0,0,1,0,0,1,1,1,1,0,0
1,2,3,1,2,70,116,99,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,80,95,97,10,1,1,0,0,1,1,0,1,1,1,0,0,0
1,10,8,3,6,191,19,96,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1,2,3,1,1,85,117,96,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,2,73,186,96,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,75,39,96,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,78,45,97,10,1,1,0,0,1,1,0,1,1,1,0,0,0
1,4,3,1,2,100,56,90,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,1,3,1,1,95,1,100,10,0,1,1,0,1,0,0,1,1,1,1,0,0
1,4,3,1,3,94,10,92,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,1,93,121,89,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,92,43,88,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,60,93,83,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,1,70,114,89,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,1,3,1,1,50,1,100,10,0,1,1,0,1,0,0,1,1,1,1,0,0
1,2,3,1,1,57,1,100,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,2,90,30,95,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,85,3,100,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,3,3,1,2,90,13,95,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,1,3,1,1,58,71,90,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1,3,3,1,1,90,20,99,10,1,1,0,0,1,0,1,1,1,1,0,1,0
1,4,3,1,1,64,16,100,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,75,49,89,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,3,3,1,2,95,16,100,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,82,66,84,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,58,84,95,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,2,50,37,98,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,50,25,90,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,70,20,92,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,99,2,100,10,1,1,1,0,1,0,0,1,1,1,0,0,0
